"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-11.019,0.016,-667.985,0
"hw_ind_2d1",0.09,0.006,14.153,0
"dow2",0.416,0.011,36.913,0
"dow3",0.38,0.011,33.731,0
"dow4",0.334,0.011,29.182,0
"dow5",0.311,0.012,26.816,0
"dow6",0.346,0.012,29.818,0
"dow7",0.055,0.012,4.408,0
"year2001",0.073,0.015,4.998,0
"year2002",0.078,0.015,5.126,0
"year2003",-0.033,0.015,-2.126,0.034
"year2004",-0.102,0.018,-5.818,0
"year2005",-0.151,0.017,-8.721,0
"year2006",-0.197,0.017,-11.4,0
"year2007",-0.267,0.017,-15.644,0
"year2008",-0.31,0.018,-16.734,0
"year2009",-0.341,0.017,-20.2,0
"year2010",-0.379,0.015,-24.507,0
"year2011",-0.475,0.015,-31.349,0
"year2012",-0.589,0.015,-38.176,0
"year2013",-0.701,0.015,-45.575,0
"year2014",-0.804,0.015,-52.141,0
"year2015",-0.774,0.016,-49.759,0
"year2016",-0.859,0.017,-51.686,0
