"","Estimate","Std. Error","t value","Pr(>|t|)"
"hw_ind_2d1",0.089,0.025,3.61,0
"statecodeAR",0,NA,NA,NA
"statecodeAZ",0,NA,NA,NA
"statecodeCA",0,NA,NA,NA
"statecodeCO",0,NA,NA,NA
"statecodeCT",0,NA,NA,NA
"statecodeDC",0,NA,NA,NA
"statecodeDE",0,NA,NA,NA
"statecodeFL",0,NA,NA,NA
"statecodeGA",0,NA,NA,NA
"statecodeIA",0,NA,NA,NA
"statecodeID",0,NA,NA,NA
"statecodeIL",0,NA,NA,NA
"statecodeIN",0,NA,NA,NA
"statecodeKS",0,NA,NA,NA
"statecodeKY",0,NA,NA,NA
"statecodeLA",0,NA,NA,NA
"statecodeMA",0,NA,NA,NA
"statecodeMD",0,NA,NA,NA
"statecodeME",0,NA,NA,NA
"statecodeMI",0,NA,NA,NA
"statecodeMN",0,NA,NA,NA
"statecodeMO",0,NA,NA,NA
"statecodeMS",0,NA,NA,NA
"statecodeMT",0,NA,NA,NA
"statecodeNC",0,NA,NA,NA
"statecodeND",0,NA,NA,NA
"statecodeNE",0,NA,NA,NA
"statecodeNH",0,NA,NA,NA
"statecodeNJ",0,NA,NA,NA
"statecodeNM",0,NA,NA,NA
"statecodeNV",0,NA,NA,NA
"statecodeNY",0,NA,NA,NA
"statecodeOH",0,NA,NA,NA
"statecodeOK",0,NA,NA,NA
"statecodeOR",0,NA,NA,NA
"statecodePA",0,NA,NA,NA
"statecodeRI",0,NA,NA,NA
"statecodeSC",0,NA,NA,NA
"statecodeSD",0,NA,NA,NA
"statecodeTN",0,NA,NA,NA
"statecodeTX",0,NA,NA,NA
"statecodeUT",0,NA,NA,NA
"statecodeVA",0,NA,NA,NA
"statecodeVT",0,NA,NA,NA
"statecodeWA",0,NA,NA,NA
"statecodeWI",0,NA,NA,NA
"statecodeWV",0,NA,NA,NA
"statecodeWY",0,NA,NA,NA
"hw_ind_2d1:statecodeAR",-0.001,0.041,-0.022,0.982
"hw_ind_2d1:statecodeAZ",0.068,0.042,1.611,0.107
"hw_ind_2d1:statecodeCA",0.121,0.028,4.27,0
"hw_ind_2d1:statecodeCO",0.145,0.053,2.749,0.006
"hw_ind_2d1:statecodeCT",0.091,0.041,2.232,0.026
"hw_ind_2d1:statecodeDC",0.055,0.077,0.721,0.471
"hw_ind_2d1:statecodeDE",-0.138,0.075,-1.841,0.066
"hw_ind_2d1:statecodeFL",-0.041,0.03,-1.385,0.166
"hw_ind_2d1:statecodeGA",-0.007,0.034,-0.22,0.826
"hw_ind_2d1:statecodeIA",0.041,0.048,0.846,0.398
"hw_ind_2d1:statecodeID",-0.017,0.08,-0.218,0.827
"hw_ind_2d1:statecodeIL",0.122,0.03,4.087,0
"hw_ind_2d1:statecodeIN",0.014,0.036,0.397,0.692
"hw_ind_2d1:statecodeKS",0.093,0.045,2.093,0.036
"hw_ind_2d1:statecodeKY",-0.008,0.037,-0.204,0.838
"hw_ind_2d1:statecodeLA",-0.088,0.036,-2.417,0.016
"hw_ind_2d1:statecodeMA",0.166,0.035,4.775,0
"hw_ind_2d1:statecodeMD",-0.027,0.036,-0.756,0.45
"hw_ind_2d1:statecodeME",0.149,0.063,2.361,0.018
"hw_ind_2d1:statecodeMI",0.087,0.032,2.707,0.007
"hw_ind_2d1:statecodeMN",0.009,0.046,0.192,0.848
"hw_ind_2d1:statecodeMO",0.05,0.035,1.418,0.156
"hw_ind_2d1:statecodeMS",-0.1,0.038,-2.64,0.008
"hw_ind_2d1:statecodeMT",0.196,0.08,2.463,0.014
"hw_ind_2d1:statecodeNC",0.024,0.033,0.739,0.46
"hw_ind_2d1:statecodeND",0.056,0.101,0.555,0.579
"hw_ind_2d1:statecodeNE",0.025,0.065,0.388,0.698
"hw_ind_2d1:statecodeNH",0.246,0.072,3.411,0.001
"hw_ind_2d1:statecodeNJ",-0.013,0.032,-0.412,0.68
"hw_ind_2d1:statecodeNM",0.038,0.06,0.626,0.531
"hw_ind_2d1:statecodeNV",0.049,0.059,0.83,0.407
"hw_ind_2d1:statecodeNY",0.111,0.029,3.859,0
"hw_ind_2d1:statecodeOH",0.099,0.032,3.129,0.002
"hw_ind_2d1:statecodeOK",-0.01,0.038,-0.268,0.789
"hw_ind_2d1:statecodeOR",0.04,0.057,0.699,0.484
"hw_ind_2d1:statecodePA",0.078,0.031,2.552,0.011
"hw_ind_2d1:statecodeRI",-0.046,0.074,-0.619,0.536
"hw_ind_2d1:statecodeSC",0.006,0.036,0.155,0.876
"hw_ind_2d1:statecodeSD",0.121,0.095,1.272,0.203
"hw_ind_2d1:statecodeTN",-0.035,0.034,-1.02,0.308
"hw_ind_2d1:statecodeTX",-0.021,0.029,-0.75,0.453
"hw_ind_2d1:statecodeUT",0.063,0.067,0.944,0.345
"hw_ind_2d1:statecodeVA",-0.024,0.035,-0.7,0.484
"hw_ind_2d1:statecodeVT",0.342,0.109,3.132,0.002
"hw_ind_2d1:statecodeWA",0.109,0.042,2.587,0.01
"hw_ind_2d1:statecodeWI",0.141,0.04,3.553,0
"hw_ind_2d1:statecodeWV",-0.086,0.051,-1.671,0.095
"hw_ind_2d1:statecodeWY",0.076,0.097,0.784,0.433
